Transcription;Emotion;Sentiment;Emotion digits;Sentiment digits;Transcription tokens
Вов, я никуда не полечу, завтра. Я очень прошу, что бы мы все отменили эту поездку. Потому что сегодня упал это самолет, опять, в очередной раз. Они постоянно падают! Я не хочу никуда лететь! Вова мы никуда не полетим! Потому что там погибли все люди, которые были на этом борту! Вова я никуда не поеду ! Это очень страшно, это очень опасно! Мы можем никуда… не вернуться сюда никогда в жизни! Я не могу перестать паниковать! Мы никуда с тобой не полетим! Я всех отговорю, что бы мы никуда не летели! Я вам тоже не позволю никуда лететь! Потому что мы упадем! Разобьемся!;страх;негатив;5;0;вов никуда полечить завтра очень просить отменить поездка сегодня упасть это самолёт очередной постоянно падать хотеть никуда лететь вова никуда полететь погибнуть человек который борт вова никуда поехать это очень страшно это очень опасно мочь никуда… вернуться сюда жизнь мочь перестать паниковать никуда ты полететь отговорить никуда лететь позволить никуда лететь упасть разбиться
 Я тебя очень прошу,немедленно перестань. Не нужно паниковать,я тебя очень прошу. Мы сейчас сядем,возьмём успокоимся и.. Да это всё ерунда,пойми. Ну это.. Пойми,да крайне мала вероятность того,что самолёт заново упадёт,снова. Да они каждый день умирают,люди. То там,то здесь. Ты хочешь сидеть дома целыми днями,да? И что? А в магазин ты не ходишь? А машина тебя собъёт! Что?! Постой,успокойся! Мы нормально,там абсолютно безопасная компания. Это нормально. У неё очень... ;гнев;негатив;0;0;очень просить немедленно перестать нужно паниковать очень просить сесть взять успокоиться .. это всё ерунда понять это .. понять крайне маленький вероятность самолёт заново упасть снова каждый день умирать человек хотеть сидеть дом целый день магазин ходить машина собъуть постоять успокоиться нормально абсолютно безопасный компания это нормально она очень ...
Вов, сегодня по радио говорили, что опять упал этот самолет. Вов, я завтра никуда не полечу, я всех вас прошу, чтобы мы остались дома и поехали куда-нибудь вон в подмосковье и там покатались с горки. Но нет, нет, нет, нет. Не, не, я, мы никуда не полетим. Там все люди убились, они все погибли, ты понимешь это? Каждый день. Они умирают каждый день, ты тоже хочешь умереть, я не хочу, я не хочу чтобы мы. Не дома. Нет, подожди, в это я хожу в магазин, машины, мы на земле, а это в воздухе, ты понимаешь? Умерли все люди, понимаешь все погибли люди. ;страх;негатив;5;0;вов сегодня радио говорить упасть самолёт вов завтра никуда полечить просить остаться дом поехать куда-нибудь вон подмосковье покататься горка никуда полететь человек убиться погибнуть пониместь это каждый день умирать каждый день хотеть умереть хотеть хотеть дом подождать это ходить магазин машина земля это воздух понимать умереть человек понимать погибнуть человек
Я еду завтра! В Папуасию. Я В смысле ? К папуасам Да!Да!Да! Мы едем к папуасам?! Серьёзно?! Обалденно! Слушай, эта экскурсия это вообще супер, я не знаю ! Блин! Как круто! Да! ! Супер! А ты тоже…ты точно уверена что хочешь к папуасам? Ты…Супер. Ваще! Это классно ! ! ;радость;позитив;4;2;еда завтра папуасий смысл папуас ехать папуас серьёзно обалденный слушать этот экскурсия это вообще супер знать блин круто супер тоже…т точно уверить хотеть папуас ты…супер ващий это классно
Куда ты хотел попасть в Новой Зеландии? К папуасам хотел? В общем, Вов, мы попадем туда! Да мы попадем туда, мы сразу как только прилетим, мы поселимся в гостинице и сразу у нас в это же день будет экскурсия в это племя новых папуасов. Да. Ты рад? Круто, круто, круто. Да, да мы все туда попадаем.;радость;позитив;4;2;хотеть попасть новый зеландия папуас хотеть общий вов попасть туда попасть туда сразу прилететь поселиться гостиница сразу это день экскурсия это племя новый папуас рад круто круто круто туда попадать
Чего,  ? Мы завтра… Мы едем, мы едем завтра? Да, мы едем, куда мы? На Огненную Землю, да! На чём? На северных собаках! Боже, я же так хотел кататься на северных собаках . Это так прекрасно, это супер, нет, это просто . Как хорошо, да, блин. Блин, огненные собаки, Огненная Земля, северные зимние. А олени будут? Олени там будут? А! Олени, господи ! ;радость;позитив;4;2;завтра… ехать ехать завтра ехать огненный земля что северный собака бог хотеть кататься северный собака это прекрасно это супер это просто блин блин огненный собака огненный земля северный зимний олень быть олень быть олень господь
Вов, в общем, я купила билет на самолет! Мы завтра летим на Огненную Землю, на Огненную Землю и там будем кататься на северных собаках! Да! Да, я то как хотела! Ты рад? Господи, как я рада! Хорошо, что ты рад. Мы туда сразу прилетим, поселимся в гостинице и сразу пойдем к этим собакам. Господи, они такие классные! И олени будут, но самое главное — это северные собаки. Боже мой, я так хотела!;радость;позитив;4;2;вов общий купить билет самолёт завтра лететь огненный земля огненный земля быть кататься северный собака хотеть рад господь рада рад туда сразу прилететь поселиться гостиница сразу пойти это собака господь такой классный олень быть самый главное — это северный собака бог хотеть
Чё. Да. Да. Чего, где? Да ладно, чё? Афигеннно просто. Ты серьезно? То есть, дом? Афигеть просто! Да это не важно вообще если там рядом океан, это так круто. Ты представляешь, как каждое утро просто можно выходить и встречать рассвет. Обалденно, слушай. Сколько там можно всего. Ваще круто. А там магазин рядом? ;радость;позитив;4;2;что ладный что афигеннный просто серьёзно дом афигеть просто это важно вообще рядом океан это круто представлять каждый утро просто выходить встречать рассвет обалденный слушать сколько ващий круто магазин рядом
В общем Вов, ты знаешь. Мы летим, всё нормально. Жить мы будем, я тебе сейчас скажу, не там где мы запланировали. Да. Я позвонила в нашу компанию и они сказали что есть возможность снять дом с видом на океан! Прямо Там. Подожди. В двухстах метров от океана уже! Да! Двухэтажный дом. Мы там будем жить ну три человека, примерно, на верху, три человека внизу. Каждое утро, да. Мы будем просыпаться и сразу вид открывается на этот безграничный, огромный океан. ;радость;позитив;4;2;общий вов знать лететь всё нормально жить быть ты сказать запланировать позвонить наш компания сказать возможность снять дом вид океан прямо подождать двести метр океан двухэтажный дом быть жить человек примерно верх человек внизу каждый утро быть просыпаться сразу вид открываться безграничный огромный океан
И че? Слушай, обалдеть! Ты серьезно сейчас говоришь об этом? Офигенно! Слушай, то есть там возле… вышел и сразу пошел по песку? Блин, офигеть! Слушай, я оттуда вообще уходить не буду. То есть можно вообще там просто, блин. Офигеть! На берегу океана... Слушай…А там что-то рядом есть? Что-то рядом есть? Или никого вообще? Вообще никого? Блин, офигеть!;радость;позитив;4;2;че слушать обалдеть серьёзно говорить офигенно слушать возле… выйти сразу пойти песок блин офигеть слушать оттуда вообще уходить быть вообще просто блин офигеть берег океан ... слушай… что-то рядом что-то рядом никто вообще вообще никто блин офигеть
Вов, в общем. Звонила я вчера в нашу туристическую компанию. Они сказали что есть возможность специально для нас, Снять дом прямо на берегу океана! В двухстах метрах от воды буквально. Да! Мы будем жить в этом большом достаточно большом доме прямо с видом на океан! Пальмы, песок. Да буквально вот выпрыгни из окна и уже ты в воде! Да! Мы две недели будем жить в доме на берегу океана! Да! ТЫ представляешь мы открываем. Ты утром просыпаешься, открываешь занавески и тут шум. Нет, ну может быть кто-то есть конечно. Какие-нибудь животные. ;радость;позитив;4;2;вов общий звонить вчера наш туристический компания сказать возможность специально снять дом прямо берег океан двести метр вода буквально быть жить большой достаточно большой дом прямо вид океан пальма песок буквально выпрыгнуть окно вода два неделя быть жить дом берег океан представлять открывать утром просыпаться открывать занавеска шум кто-то какой-нибудь животное
Да. Привет. Все-таки не получится? Блин, а че? Почему? То есть. Я понял да. Можешь не рассказывать. Я понял да. Слушай ну я не знаю может как-то там. А никто не может остаться, вместо тебя? Хотя не, я понимаю. У тебя с таким состоянием лететь куда-то, конечно, да. Ну, ты не переживай. Как-то ну ;грусть;негатив;1;0;привет всё-таки получиться блин че почему понять мочь рассказывать понять слушать знать как-то никто остаться вместо хотя понимать такой состояние лететь куда-то переживать как-то
Вов, привет. Слушай, в общем у меня такая новость. Я не полечу с вами. Ну, у меня, у бабушки совсем тяжелое состояние стало. В общем. Да. Да не, там даже.;грусть;негатив;1;0;вов привет слушать общий такой новость полечить вы бабушка тяжёлый состояние стать общий
Слушай. Да, да ты что такое говоришь ! Серьёзно что ли? Блин… Да как же! Ну может всё-таки это ерунда и там… И там же говорили какие-то лекарства хорошее прописали из Германии, нет? Может нам всем не ехать…Может тебе нужна поддержка можем тоже отказаться и остаться если хочешь. Но как мы будем там веселиться и … ну если мы давно планировали. Так давай, можем перенести наверное…;грусть;негатив;1;0;слушать такой говорить серьёзно блин… всё-таки это ерунда там… говорить какой-то лекарство хороший прописать германия мы весь ехать…мочь ты нужный поддержка мочь отказаться остаться хотеть быть веселиться … давно планировать давать мочь перенести наверное…
Вов, в общем, я все-таки не смогу поехать с вами, у меня завтра… Да, да. Сегодня позвонили, вот буквально утром позвонили из больницы и сказали, что бабушке стало еще хуже и в общем, мы все должны быть рядом с ней, потому что счет идет буквально на дни и … ну я должна быть просто здесь. Да, конечно, серьезно. Я, я очень хочу конечно поехать, но обстоятельства сильнее. Да нет, да какая там ерунда, ты че? Тут уже вряд ли что-то поможет. Тем более лекарства, поэтому мы должны быть просто рядом с ней, сейчас, в этот трудный момент. А в Зеландию… Да нет, Вов, Вов, нет, вы конечно летите, потому что ну мы давно это планировали все. Ну слетаете, а потому мы через года 2 еще раз… Да нет, Вов, Вов, Вы летите и все будет нормально. ;грусть;негатив;1;0;вов общий всё-таки смочь поехать вы завтра… сегодня позвонить буквально утром позвонить больница сказать бабушка стать плохой общий должный рядом счёт идти буквально день … должный просто серьёзно очень хотеть поехать обстоятельство сильный ерунда че вряд что-то помочь лекарство поэтому должный просто рядом трудный момент зеландию… вов вов лететь давно это планировать слетать год 2 раз… вов вов лететь нормально
Как так? Это очень печально слушай извини, конечно. Да не не не нужно, все понял, слушай ну как-то, да не, ну правда не переживай, я не знаю. Я , а может перенесем поездку я не слушай ну мы же так долго планировали и как бы без тебя это будет не тот праздник. Я я все понимаю, конечно, да . А как же ну там и лекарства, вроде были хорошими может . Ну да. Ну попрощайся с дедом и лети с нами .;грусть;негатив;1;0;это очень печально слушать извинить нужно понять слушать как-то правда переживать знать перенести поездка слушать долго планировать это праздник понимать лекарство вроде хороший попрощаться дед лететь мы
Вов, в общем, я все-таки не смогу полететь завтра в Новую Зеландию. Позвонили сегодня из больницы, деду стало еще хуже, чем было и мы всей семьей решили, что нам нужно остаться, побыть рядом с ним. Ну потому что у него там буквально на считанные дни… Я боюсь конечно об этом говорить. Да нет, вы че? Вы летите… Да я понимаю все, но я просто я должна остаться здесь. Просто должна быть здесь и все. Да и лекарства они уже не помогают, да даже дело не в этом. Да это вряд ли поможет, поэтому ;грусть;негатив;1;0;вов общий всё-таки смочь полететь завтра новый зеландия позвонить сегодня больница дед стать плохой весь семья решить мы нужно остаться побыть рядом буквально считать дни… бояться говорить че летите… понимать просто должный остаться просто должный лекарство помогать дело это вряд помочь поэтому
Кать, привет. Слушай, я че то забегался, правда, я там должен был взять билеты, я сегодня звонил, я не знаю, что то никаких билетов нет. Да я понимаю, это моя вина. Нет билетов сейчас на самолет в эту дату. И в ближайшую неделю тоже, там все занято. Купили путевки, но… Я, я понимаю, но правда… я, я виноват, серьезно, я, я беру на себя вину. Бывает все в жизни, согласись. Ну. Я… Может быть так оно и есть. Да я как то потерялся. Да не ходил я по клубам. Да просто. Да нет. Я не то, чтобы я.;грусть;негатив;1;0;катя привет слушать че забегаться правда должный взять билет сегодня звонить знать никакой билет понимать это вино билет самолёт дата близкий неделя занятый купить путёвка но… понимать правда… виноватый серьёзно брать вина бывать жизнь согласиться я… оно потеряться ходить клуб просто
Да, привет. Чего? Каких билетов нет? Ты с ума сошел? Мы эти путевки когда купили? А билеты, Вов, я тебе это поручила месяц назад! Если не больше. Вов, ты с ума сошел? Ты хоть понимаешь, что ты сейчас говоришь? Ты не купил билеты! Почему тебе ничего нельзя поручить? Ты думаешь только о себе! Чем ты занимался в это время? По клубам ходил? А куда еще ты? Может быть ты еще куда то съездил отдохнуть, а? Вова, ты прекрасно знаешь, что все наши отпуска подстроены именно под эту дату. Почему ты не взял эти билеты? Ты лентяй? Ты забыл? Ты не думаешь ни о ком, кроме себя. Ты эгоистичный!;гнев;негатив;0;0;привет какой билет ум сойти путёвка купить билет вов ты это поручить месяц назад вов ум сойти понимать говорить купить билет почему ты поручить думать заниматься это время клуб ходить съездить отдохнуть вова прекрасно знать наш отпуск подстроить именно дата почему взять билет лентяй забыть думать кто кроме эгоистичный
Кать, я не смог билеты купить, прости. Я, чет затянул и.Не было билетов. И на самом деле наверное не будет. Я не купил билеты. Я очень виноват. Я знаю, я очень виноват, признаю да. Я не знаю. Чем я занимался? Мне чертовски жаль. Я согласен, да. Кать. Катя прости меня, пожалуйста. Я очень виноват. Я очень виноват. Сильно. Я, я, я облажался.;грусть;негатив;1;0;катя смочь билет купить простить чета затянуть и.ич билет сам дело наверное купить билет очень виноватый знать очень виноватый признавать знать заниматься чертовски жаль согласный катя катя простить пожалуйста очень виноватый очень виноватый сильно облажаться
Чего?! Вов, ты больной? Какие? Ты не купил билеты?! Ты. Ты прекрасно знаешь, что все наши отпуска подстроены под эту дату. Ты чем занимался в это время? Вова, чем ты занимался в это время? Ты не мог, потратить своих каких-то там пол часа, чтобы доехать и купить эти гребаные билеты? Вова, тебе никогда ничего нельзя поручать, потому что ты безответственный маменькин сынок, ты понял это?! Почему ты не сделал этого?! У тебя было полно времени, ты не работаешь! ;гнев;негатив;0;0;вов больной какой купить билет прекрасно знать наш отпуск подстроить дата заниматься это время вова заниматься это время мочь потратить свой какой-то пол час доехать купить грёбаный билет вова ты поручать безответственный маменькин сынок понять это почему сделать полно время работать
Кать, я очень виноват, я не смог купить билеты… я знаю, что я знаю, что… да…. Прости, пожалуйста. Ребята, ребята, извините меня, я.. Да я знаю… Я не знаю, я думал они будут. Ну почему… Я потратил ваши деньги. Да, я потратил ваши деньги. Я отдам вам деньги, ничего страшного... Прости меня...;грусть;негатив;1;0;катя очень виноватый смочь купить билеты… знать знать что… да… простить пожалуйста ребята ребята извинить .. знаю… знать думать быть почему… потратить ваш деньга потратить ваш деньга отдать деньга страшный ... простить ...
 Я так и знала, а, ты посмотри. Я тебе это задание поручила еще полтора месяца назад. Вов, ты ничем не занимался. Вова, мы все торчим на работе с восьми до восьми вечера, у нас полно дел. Ты один свободный, ты на что потратил это время? Ты на что? Я еще не удивлюсь, если ты потратил наши деньги, которые мы тебе дали на билеты. Вова, ты безответственный маменькиный сынок. Тебе нужно пойти в армию, ты понял это? ;гнев;негатив;0;0;знать посмотреть ты это задание поручить полтора месяц назад вов ничто заниматься вова торчать работа восемь восемь вечер полно дело свободный потратить это время удивиться потратить наш деньга который ты дать билет вова безответственный маменькиный сынок ты нужно пойти армия понять это
Слушай, а что там? Ну, и что? А зачем? ;отвращение;негатив;3;0;слушать
В Китае посмотрела передачу. В Китае ужасно противная еда. Ты открываешь эту лапшу вок, ты представляешь, ты её открываешь и там вместе с этой лапшой вот так вот вертится. Вот так вот. Вот так вот ползают эти червяки и люди это едят. Они не замечают этих червяков, берут эти палочки, кладут в рот, и там их разжевывают. А как готовятся эти блюда. Эти повара не моют руки перед приготовлением, они достают эту лапшу полуготовую, которая была приготовлена месяц назад и кладут их в блюда.;отвращение;негатив;3;0;китай посмотреть передача китай ужасно противный еда открывать лапша вок представлять её открывать вместе лапша вертеться ползать червяк человек это есть замечать этот червяк брать палочка класть рот разжёвывать готовиться блюдо повар мыть рука приготовление доставать лапша полуготовый который приготовить месяц назад класть блюдо
 Фу И че? Ой Фу,слушай сейчас меня.. Слушай,меня тошнит уже,перестань пожалуйста,я тебя умоляю. ;отвращение;негатив;3;0;фу че ой фу слушать .. слушать тошнить перестать пожалуйста умолять
В Китае такие блюда ужасные. Там червяки прямо в блюдах. Такие скользкие. У них такие зубы ещё торчат. Такие ужасные. Какие-то клешни. Они прямо лежат, в этой тарелке. И ты их берешь. Ты их не замечаешь. А какие они все противные. У них слизь, такая зеленая, противная слизь. И повара это не готовят. Это прям сырое кладют тебе на тарелку. И ты должен это… А другой еды нет. Там только улитки эти лямбли. Которые прямо в тарелке лежат. Откуда они вышли. Откуда они появились. Они такие длинные и сколькие. И их много. И кладут вместо лапши. Ты даже не почувствуешь разницы. ;отвращение;негатив;3;0;китай такой блюдо ужасный червяк прямо блюдо такой скользкий такой зуб ещё торчать такой ужасный какой-то клешня прямо лежать тарелка брать замечать какой противный слизь такой зелёный противный слизь повар это готовить это прям сырой кладть ты тарелка должный это… еда улитка лямбль который прямо тарелка лежать откуда выйти откуда появиться такой длинный сколький класть вместо лапша почувствовать разница
Фу. Фу. Фу, какая гадость. ;отвращение;негатив;3;0;фу фу фу гадость
Вов, в Китае подают ужасную, там кладут в тарелки живых лямблий, живых червяков, слизней, которые скользкие, они их вытаскивают прямо из канализации и кладут тебе в тарелку. Они их даже не моют, не готовят, да ладно готовить и ты все это ешь, а для китайцев это нормально. У них такие зубы скользкие, слюни текут, вот эти малюсенькие клешни, лямблии, они, ты их берешь, кладешь в рот и они там тебя целяют за щеки, за нёбо и они могу даже укусить твой язык, а ты это все жуешь, жуешь. ;отвращение;негатив;3;0;вов китай подавать ужасный класть тарелка живой лямблия живой червяк слизень который скользкий вытаскивать прямо канализация класть ты тарелка мыть готовить ладный готовить это есть китаец это нормально такой зуб скользкий слюни течь малюсенький клешня лямблия брать класть рот целять щека нёбо мочь укусить твой язык это жевать жевать
 Слушай, Кать. Там сейчас в Париже случился теракт и как-то я очень переживаю. Да, потому что да, именно. Вот именно, я тоже слышал про это. Слушай, я не знаю, да. Она вроде как поехала в Лувр. Она же не знает французского. Прямо в центре, по всем, там 8 терактов по всему городу. Представляешь? Я пытаюсь ей дозвонится, она не берет трубку, ты понимаешь? Я сейчас очень сильно волнуюсь. Я не знаю, она не знает французского, она как там вообще все это. Там такая паника показывают в городе просто. В город вели войска и… ;страх;негатив;5;0;слушать катя париж случиться теракт как-то очень переживать именно именно слышать это слушать знать вроде поехать лувр знать французский прямо центр весь 8 теракт весь город представлять пытаться дозвониться брать трубка понимать очень сильно волноваться знать знать французский вообще это такой паника показывать город просто город вели войско и…
Чего? А, у нас же Света поехала туда, в Лувр. Она прям в центре там? А где случился теракт? А ты звонил ей? Конечно там паника, боже мой, неужели там… ;страх;негатив;5;0;свет поехать туда лувр прям центр случиться теракт звонить паника бог неужели там…
Ты слышала, случился теракт сейчас на улицах там везде стреяют. Да, Вика поехала в центр. Я очень, я, я не знаю. Не нужно никуда идти, ты что, подожди, там, там нужно. Не совершай каких-то, как ты пойдешь сейчас на улицу, там сейчас стреляют, черт возьми что там происходит. И что? A что ты предлагаешь? И что, ты хочешь что, выйти и, ты понимаешь, а ты сама попадешь в беду и кто тебя будет вытаскивать из ситуации? Там, она пытается спастись, я не знаю... ;страх;негатив;5;0;слышать случиться теракт улица везде стреять вика поехать центр очень знать нужно никуда идти подождать нужно совершать какой-то пойти улица стрелять черта взять происходить a предлагать хотеть выйти понимать сам попасть беда вытаскивать ситуация пытаться спастись знать ...
Подожди, а туда же Вика поехала. А, и что нам делать? А вдруг, господи, что нам делать? Может нам туда стоит тоже сейчас поехать, а вдруг ее? А вдруг она попала под этот теракт? Подожди, а что нам, что нам делать? Мы не можем просто так сейчас сидеть. А что, нам просто так с тобой сейчас сидеть? А вдруг она там? Как, а как мы ее должны спасти. Подожди, мы должны ее спасти. Ну, она там одна а мы тут с тобой вдвоем. Нам все равно нужно туда поехать... ;страх;негатив;5;0;подождать туда вика поехать мы делать господь мы делать мы туда стоить поехать попасть теракт подождать мы мы делать мочь просто сидеть мы просто ты сидеть должный спасти подождать должный спасти один ты вдвоём мы равно нужно туда поехать ...
Да, я знаю, да. Слушай, я не знаю, просто ну нужно наверно подождать, я, ух, черт. Да, давай просто подождем, я тебя очень прошу, да нужно подождать, там полиция запретила выходить на улицу. Я. Ничего не случится, с ней все будет впорядке, я уверен, что сейчас нельзя выходить, там очень много народу, куча людей. Какое такси? Сейчас такси не работает, такси не работает, понимаешь... ;страх;негатив;5;0;знать слушать знать просто нужно наверно подождать ух черта давать просто подождать очень просить нужно подождать полиция запретить выходить улица я. случиться впорядок уверенный выходить очень народ куча человек какой такси такси работать такси работать понимать ...
Вов, случился теракт, прям в центре а у нас туда Дашка поехала. Чего нам делать то? Нам что делать?, Дашка, она же не, не языка не знает, она плохо ориентируется в местности. И у нее какая-то пространственная, ну, она не разбирается в пространстве. Нам нужно чего-то сделать, нам нужно что-то сделать, господи бедная Дашка, господи пожалуйста только бы с ней ничего не случилось, пожалуйста. Давай сюда поедем, я тебя умоляю, берем такси и садимся. Вова!, берем такси и едем туда, Вова!, нам нельзя просто так сидеть тут.;страх;негатив;5;0;вов случиться теракт прям центр туда дашка поехать мы делать мы делать дашка язык знать плохо ориентироваться местность какой-то пространственный разбираться пространство мы нужно что-то сделать мы нужно что-то сделать господь бедный дашка господь пожалуйста случиться пожалуйста давать сюда поехать умолять брать такси садиться вова брать такси ехать туда вова мы просто сидеть
Я не знаю, что делать, я правда не знаю. Я очень волнуюсь. Да, я не знаю, она сама ушла, она же старше меня на 10 лет. Давай поедем. Я не смогу, я не знаю номер такси, ничего, у меня, да. Блин, черт, черт,черт, черт,черт, черт,черт, черт, я не знаю, не знаю, не знаю, не знаю..... ;страх;негатив;5;0;знать делать правда знать очень волноваться знать сам уйти старший 10 год давать поехать смочь знать номер такси блин черта черта черта черта черта черта черта черта знать знать знать знать .....
Вов, я узнала там случился теракт прям в центре Парижа. Вов, туда поехала наша Дашка. Вова, а если она попала туда? Что нам делать? Господи, Даша, она же так, она же не ориентируется в пространстве, она языка не знает. Ты как ее смог отпустить вообще одну? Господи, только бы ничего не случилось. И чего нам делать? Давай возьмем такси и поедем, а? Блин, она такая тонкая, она худенькая, ее же, ее легко могут снести, она же ничего не понимает, она совсем еще малышка, она ребенок еще, как мы могли ее отпустить, а? Вова, пожалуйста, давай сядем и поедем, я не хочу здесь просто сидеть, это..... ;страх;негатив;5;0;вов узнать случиться теракт прям центр париж вов туда поехать наш дашка вова попасть туда мы делать господь даша ориентироваться пространство язык знать смочь отпустить вообще один господь случиться мы делать давать взять такси поехать блин такой тонкий худенький легко мочь снести понимать малышка ребёнок мочь отпустить вова пожалуйста давать сесть поехать хотеть просто сидеть это .....
Катя что-ли? Да я как-бы тут со всеми. Да! А ты тоже? Я не знаю, я как-то шёл и ... Да! Блин. Я. Ничего себе! Ты вообще как-то. Да, да но ... Да, я. Отчислили за ... Да? Ничего себе! А! Ну. ;удивление;позитив;6;2;катя что-ли как-бы весь знать как-то идти ... блин я. вообще как-то ... я. отчислить ...
